epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1638,2.35695,4.09631,1.45811,0.84245,0.0383,0.04089,0.01936,2.34703,2.45454,1.53393,0.06766,0.000326667,0.000326667
2,37.3336,2.24778,2.28083,1.39406,0.55773,0.07222,0.07542,0.03991,2.21066,3.53078,1.37092,0.0346468,0.000646801,0.000646801
3,53.3901,2.24782,2.16962,1.38676,0.54516,0.17355,0.10249,0.05709,2.22851,2.64088,1.41763,0.00162027,0.000953604,0.000953604
4,69.2321,2.22654,2.1568,1.37178,0.24681,0.20243,0.08722,0.04096,2.20617,2.49088,1.51031,0.000940006,0.000940006,0.000940006
5,85.9986,2.22029,2.12741,1.41474,0.37893,0.078,0.07028,0.03287,2.23246,2.23037,1.46787,0.000920008,0.000920008,0.000920008
6,102.24,2.19145,2.08892,1.40192,0.78966,0.05855,0.06828,0.03007,2.11805,2.41755,1.36483,0.00090001,0.00090001,0.00090001
7,118.317,2.18524,2.06326,1.37321,0.6568,0.1156,0.09314,0.04531,2.18237,2.11105,1.4063,0.000880012,0.000880012,0.000880012
8,134.731,2.20605,2.04908,1.39099,0.57662,0.12521,0.07162,0.03215,2.1813,2.21884,1.39777,0.000860014,0.000860014,0.000860014
9,151.642,2.12224,2.01297,1.36179,0.70281,0.077,0.09446,0.04776,2.13402,2.03467,1.38308,0.000840016,0.000840016,0.000840016
10,167.613,2.1544,2.00799,1.3774,0.616,0.10728,0.09063,0.04407,2.09086,2.00539,1.36202,0.000820018,0.000820018,0.000820018
11,184.082,2.12449,2.02416,1.35168,0.46677,0.1017,0.08435,0.04429,2.15817,2.04066,1.41842,0.00080002,0.00080002,0.00080002
12,200.214,2.11216,1.95853,1.35238,0.40651,0.13105,0.11068,0.0559,2.15982,2.08113,1.37722,0.000780022,0.000780022,0.000780022
13,217.242,2.12675,1.95555,1.32453,0.51278,0.14097,0.12668,0.06668,2.16545,2.15453,1.38689,0.000760024,0.000760024,0.000760024
14,233.418,2.11678,1.94973,1.31564,0.45544,0.11238,0.10661,0.05035,2.15174,2.08959,1.3847,0.000740026,0.000740026,0.000740026
15,249.455,2.045,2.04602,1.30282,0.55658,0.17755,0.0975,0.04925,2.06537,2.06896,1.36177,0.000720028,0.000720028,0.000720028
16,265.738,2.06652,1.92916,1.3111,0.67116,0.08303,0.10126,0.04974,2.00322,1.97052,1.28257,0.00070003,0.00070003,0.00070003
17,282.654,2.05803,1.89206,1.29894,0.36662,0.13618,0.11533,0.06071,2.02554,1.94997,1.31663,0.000680032,0.000680032,0.000680032
18,298.984,2.08219,1.85301,1.30176,0.48943,0.08326,0.08928,0.04325,2.05427,2.00398,1.33728,0.000660034,0.000660034,0.000660034
19,315.16,2.05055,1.94165,1.29766,0.56356,0.10481,0.12665,0.06109,2.0643,1.95876,1.33237,0.000640036,0.000640036,0.000640036
20,331.818,2.07464,1.87915,1.29114,0.67697,0.09933,0.10602,0.05421,2.06247,1.91081,1.33481,0.000620038,0.000620038,0.000620038
21,349.332,2.02059,1.83736,1.29744,0.50629,0.14183,0.11981,0.05667,2.02989,1.9406,1.33455,0.00060004,0.00060004,0.00060004
22,365.535,2.02901,1.84358,1.27852,0.27489,0.14205,0.1079,0.05311,2.04852,1.89564,1.34723,0.000580042,0.000580042,0.000580042
23,381.836,2.01119,1.82846,1.28937,0.39806,0.15236,0.1304,0.0632,2.0638,1.87365,1.35323,0.000560044,0.000560044,0.000560044
24,398.606,1.99128,1.81593,1.27793,0.41662,0.15297,0.128,0.06131,2.06368,1.95325,1.35481,0.000540046,0.000540046,0.000540046
25,415.24,2.02117,1.83352,1.288,0.22434,0.18436,0.14286,0.07123,1.99306,1.97582,1.32188,0.000520048,0.000520048,0.000520048
26,431.705,2.01502,1.84232,1.28234,0.37879,0.14718,0.12632,0.06022,2.06741,1.94205,1.35439,0.00050005,0.00050005,0.00050005
27,448.093,2.02154,1.78615,1.26429,0.40053,0.15997,0.12929,0.06486,2.03144,1.88879,1.32275,0.000480052,0.000480052,0.000480052
28,465.005,1.98133,1.80321,1.28355,0.42503,0.26006,0.14748,0.08315,2.05017,1.84923,1.37199,0.000460054,0.000460054,0.000460054
29,481.469,1.95178,1.76909,1.26739,0.58218,0.12409,0.14209,0.07127,2.0264,1.8996,1.33925,0.000440056,0.000440056,0.000440056
30,497.714,1.95414,1.79068,1.2763,0.34379,0.17373,0.12881,0.06877,2.02649,1.85461,1.33161,0.000420058,0.000420058,0.000420058
31,515.795,1.99979,1.9223,1.33104,0.28301,0.13965,0.10738,0.05658,1.99321,1.99903,1.33721,0.00040006,0.00040006,0.00040006
32,532.318,1.95651,1.86993,1.31934,0.7975,0.0819,0.11269,0.05802,1.97802,1.87946,1.32064,0.000380062,0.000380062,0.000380062
33,548.19,1.94805,1.7974,1.30019,0.41896,0.15283,0.13505,0.0757,2.0014,1.81591,1.31597,0.000360064,0.000360064,0.000360064
34,564.1,1.91867,1.78495,1.31316,0.279,0.13781,0.12286,0.06214,2.01781,1.89461,1.34747,0.000340066,0.000340066,0.000340066
35,580.001,1.91602,1.7962,1.28862,0.36895,0.17531,0.14879,0.08567,1.96574,1.85013,1.30904,0.000320068,0.000320068,0.000320068
36,596.739,1.93331,1.7685,1.30165,0.29148,0.25405,0.14306,0.07463,2.0007,1.81794,1.31364,0.00030007,0.00030007,0.00030007
37,612.75,1.92905,1.73559,1.28634,0.3264,0.24398,0.15324,0.07512,1.98908,1.81444,1.31591,0.000280072,0.000280072,0.000280072
38,628.78,1.90747,1.77761,1.30469,0.45768,0.14848,0.13428,0.06957,1.98773,1.83464,1.30045,0.000260074,0.000260074,0.000260074
39,644.858,1.90329,1.7353,1.29617,0.3284,0.12286,0.12625,0.0665,2.03082,1.92141,1.34386,0.000240076,0.000240076,0.000240076
40,661.136,1.90237,1.68512,1.28425,0.70023,0.22913,0.14976,0.08118,2.0253,1.81962,1.32032,0.000220078,0.000220078,0.000220078
41,677.327,1.84413,1.66286,1.26054,0.46362,0.23517,0.14289,0.07404,2.02185,1.81304,1.31985,0.00020008,0.00020008,0.00020008
42,693.094,1.88585,1.67832,1.28372,0.44001,0.2103,0.12959,0.07079,1.9993,1.83726,1.3195,0.000180082,0.000180082,0.000180082
43,708.997,1.8387,1.67652,1.27619,0.35168,0.24951,0.16747,0.08858,1.9944,1.79723,1.32726,0.000160084,0.000160084,0.000160084
44,725.083,1.87086,1.64389,1.25972,0.62588,0.19939,0.17445,0.09686,2.00182,1.81734,1.32727,0.000140086,0.000140086,0.000140086
45,741.865,1.88681,1.65586,1.30277,0.35371,0.24976,0.15467,0.08006,1.99323,1.79393,1.29652,0.000120088,0.000120088,0.000120088
46,757.789,1.86371,1.61761,1.26963,0.47779,0.27432,0.15054,0.08186,1.96768,1.81674,1.30054,0.00010009,0.00010009,0.00010009
47,773.814,1.80959,1.63032,1.23847,0.65887,0.19905,0.18078,0.09832,1.98255,1.75816,1.32477,8.0092e-05,8.0092e-05,8.0092e-05
48,790.063,1.82379,1.61613,1.26118,0.37173,0.23438,0.18533,0.10278,1.98001,1.77124,1.32065,6.0094e-05,6.0094e-05,6.0094e-05
49,807.644,1.84008,1.64703,1.25105,0.37966,0.23035,0.16702,0.08895,1.9761,1.7752,1.31085,4.0096e-05,4.0096e-05,4.0096e-05
50,823.732,1.82214,1.62509,1.2355,0.4208,0.23301,0.17036,0.09044,1.97638,1.77752,1.30668,2.0098e-05,2.0098e-05,2.0098e-05
