epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4961,2.35695,4.09631,1.45811,0.84245,0.0383,0.04089,0.01936,2.34703,2.45454,1.53393,0.06766,0.000326667,0.000326667
2,34.9318,2.24547,2.28491,1.40897,0.55723,0.07078,0.05475,0.02385,2.20808,3.84622,1.42599,0.0346556,0.0006556,0.0006556
3,51.3791,2.2578,2.21685,1.41305,0.42936,0.21229,0.09731,0.05005,2.20268,2.88615,1.45437,0.00164676,0.00098009,0.00098009
4,67.7631,2.24519,2.17832,1.39367,0.4515,0.11474,0.06489,0.0339,2.23166,3.34169,1.47637,0.000980002,0.000980002,0.000980002
5,84.1292,2.22627,2.13215,1.43449,0.68268,0.06941,0.06993,0.03204,2.2,2.28217,1.47484,0.000973336,0.000973336,0.000973336
6,101.174,2.22102,2.08452,1.41038,0.39689,0.20422,0.10108,0.05573,2.17582,2.17163,1.41629,0.00096667,0.00096667,0.00096667
7,117.852,2.18558,2.06249,1.37913,0.75438,0.12085,0.08595,0.04008,2.18768,2.07659,1.41582,0.000960004,0.000960004,0.000960004
8,134.223,2.1967,2.05007,1.39374,0.69233,0.09511,0.07538,0.0347,2.26888,2.17241,1.49473,0.000953338,0.000953338,0.000953338
9,150.51,2.12322,2.05062,1.37181,0.7772,0.07866,0.10021,0.05655,2.12941,2.05822,1.37821,0.000946672,0.000946672,0.000946672
10,167.882,2.1633,2.03572,1.40003,0.748,0.06737,0.06304,0.03015,2.17194,2.08467,1.43012,0.000940006,0.000940006,0.000940006
11,184.674,2.13758,2.03766,1.35904,0.46894,0.12408,0.08267,0.04281,2.12684,2.14927,1.42531,0.00093334,0.00093334,0.00093334
12,201.354,2.11282,1.99443,1.36796,0.50362,0.14313,0.09886,0.04384,2.0824,2.26407,1.37768,0.000926674,0.000926674,0.000926674
13,217.688,2.1388,1.98881,1.33734,0.47443,0.09283,0.08708,0.04024,2.16395,2.09006,1.40264,0.000920008,0.000920008,0.000920008
14,234.967,2.11071,1.99934,1.32874,0.77639,0.08604,0.10749,0.0525,2.10886,1.94519,1.35248,0.000913342,0.000913342,0.000913342
15,251.139,2.05501,2.04042,1.30566,0.38199,0.16178,0.10345,0.05435,2.04827,2.03907,1.35773,0.000906676,0.000906676,0.000906676
16,267.62,2.07485,1.94845,1.32459,0.67691,0.08897,0.0868,0.04457,2.07322,2.10325,1.34589,0.00090001,0.00090001,0.00090001
17,283.948,2.09139,1.94027,1.32467,0.35913,0.11219,0.09954,0.04875,2.12172,1.99948,1.39799,0.000893344,0.000893344,0.000893344
18,301.455,2.10123,1.89657,1.32119,0.48719,0.09005,0.07587,0.0342,2.08045,1.97255,1.35877,0.000886678,0.000886678,0.000886678
